MaterialName;Category;IsUsed;SupplierId;Cost;SizeUnits;QuantityNeeded;Notes
OXALIS SANI SAPONE LAVAMANI ANTIBATTERICO 5 KG;Unknown;NO;ERRE BI ALBERGHIERA;20,42;5;10;PREZZO AL KG
PAGLIUZZA;Unknown;SI;CDA;0;1;10;
PATA CUP PORTA FRITTI;Unknown;NO;CARTARIA VARESINA;5,72;50;10;PICCOLINI
PIETRA PIASTRA;Unknown;SI;ERRE BI ALBERGHIERA;0;1;10;
PORTA BICCHIERI TACCA 0,4;Unknown;NO;CARTARIA VARESINA;5,04;80;10;DA TROVARE O FARE IN CASA CON DIVISORI BOTTIGLIE
PORTA HAMBURGER - 10X10 PER PATATE E ROSTI;Unknown;SI;METRO;0;50;10;
PORTA HAMBURGER - 16X15.5 H 90;Unknown;SI;CARTARIA VARESINA;9,67;50;10;
PORTA HAMBURGER - 16X15.5 H 90;Unknown;NO;ERRE BI ALBERGHIERA;15,98;50;10;COSTA DI PIù MA SONO SUBITO DISPONIBILI
RICARICA IGIENIZZANTE;Unknown;SI;LEVA;0;1;10;
ROTOLI POS 57X17;Unknown;SI;CARTARIA VARESINA;43;100;10;
ROTOLI POS 57X17;Unknown;SI;CARTOLERIA VIGEZZI;6,84;12;10;
ROTOLI REGISTRATORI FISCALI 80X80 30 ROTOLI;Unknown;SI;CARTARIA VARESINA;52,5;30;10;
ROTOLI REGISTRATORI FISCALI 80X80 30 ROTOLI;Unknown;SI;CARTOLERIA VIGEZZI;13,12;8;10;
ROTOLONE MAXI VEGE' 500 STRAPPI;Unknown;SI;CDA;2,96;1;10;
SACCH. VELEN KG 10 18X50 - PER GALEONI;Unknown;SI;CDA;17,13;769;10;10 KG - TROPPO GRANFI, DA PRENDERE PIù PICCOLI 15X40
SACCHETTI FOLLETTO VK140 - VK150;Unknown;SI;REIVAR;0;1;10;
SACCHETTINO PORTA BOTTIGLIE;Unknown;NO;CARTARIA VARESINA;64;400;10;ORDINARE 50 PZ ALLA VOLTA
SACCHETTO DI CARTA TAKE Away 32+16x17;Unknown;No;CARTARIA VARESINA;64,8;300;10;SERVIREBBE PIù LARGO X 2 SCATOLE HAMB
SACCHETTO DI CARTA TAKE Away 32+22x27;Unknown;NO;CARTARIA VARESINA;76;200;10;
SACCHETTO DI CARTA TAKE Away 32+22x27 MI PIAACE;Unknown;SI;Mi PIAACE;30;200;10;
SACCHI IMMONDIZIA GIALLI 70X115;Unknown;SI;CDA;1,58;20;10;
SACCHI IMMONDIZIA NEUTRI 70X115;Unknown;SI;CDA;1,58;20;10;
SACCHI IMMONDIZIA VIOLA 70X115;Unknown;NO;CDA;1,58;20;10;
SGRASSATORE CHANTECLAIR LIMONE;Unknown;SI;CDA;1,67;1;10;
SHOPPER VEGE' BIO;Unknown;SI;CDA;35;500;10;
SACCHETTI SOTTOVUOTO 25x35;Unknown;NO;AMAZON;34,34;300;10;
SACCHETTI SOTTOVUOTO 25x35;Unknown;SI;CARTARIA VARESINA;140,4;1000;10;
SPRAY DEODORANTE IGIENIZZANTE Ml.500;Unknown;SI;SAMAR;6,9;1;10;
SPUGNA ABRASIVA SCINTILLA;Unknown;SI;CDA;9,36;24;10;
SPUGNA SOTTILE BANCO;Unknown;SI;CDA;0;1;10;
STUZZICADENTI SAMURAI 15 CM X 100 PZ;Unknown;SI;CDA;0,54;100;10;
STUZZICADENTI SAMURAI 200;Unknown;SI;CDA;0,46;200;10;
STUZZICADENTI SPIEDINI 20X75;Unknown;SI;CDA;0,57;75;10;
TERGONIT 30 LAVASTOVIGLIE ACQUE DOLCI 6 KG;Unknown;NO;ERRE BI ALBERGHIERA;15,31;6;10;PREZZO AL KG
TERGONIT 50 LAVASTOVIGLIE ACQUE DOLCI 6 KG;Unknown;NO;ERRE BI ALBERGHIERA;19,04;6;10;PREZZO AL KG
TERGONIT BRILLANTANTE 5 KG;Unknown;NO;ERRE BI ALBERGHIERA;19,31;5;10;PREZZO AL KG
TOVAGLIETTE CON STAMPE GIOCHI PRINS 30X40;Unknown;NO;FLYERALARM;388;10000;10;PREZZO A TOVAGLIETTA
TOVAGLIETTE CON STAMPE GIOCHI PRINS 30X40;Unknown;SI;CARTARIA VARESINA;700;20000;10;PREZZO A TOVAGLIETTA
TOVAGLIOLI 40x40 2 VELI BIANCHI;2.000 PZ;SI;SAMAR;62,86;2000;10;
TOVAGLIOLI CARTA 33X33 2 VELI - 50 PZ - BIANCO;Unknown;NO;ERRE BI ALBERGHIERA;38,25;48;10;PREZZO A CONFEZIONE DA 50 TOVAGLIOLI
TOVAGLIOLI CARTA 38X38 2 VELI - 50 PZ - BIANCO;Unknown;NO;CARTARIA VARESINA;0,72;1;10;A CONFEZIONI
TOVAGLIOLI CARTA 40X40 2 VELI - 50 PZ - BIANCO;Unknown;NO;ERRE BI ALBERGHIERA;50;48;10;PREZZO A CONFEZIONE DA 50 TOVAGLIOLI
TOVAGLIOLI VEGE' 38X38 2 VELI;Unknown;SI;CDA;0,62;50;10;50 TOVAGLIOLI A CONFEZIONE
VASCHETTA ALLUMINIO;Unknown;SI;CDA;17,48;50;10;
VASCHETTA PET C/C RETTANG .1000;Unknown;NO;CDA;8,44;50;10;PER FRITTI
TOVAGLIOLI DA COCKTAIL PERSONALIZZATI 1 COLORE;Unknown;NO;CARTARIA VARESINA;551,78;32400;10;9 scatole 90 impianto
TOVAGLIOLI DA COCKTAIL PERSONALIZZATI 2 COLORE;Unknown;NO;AMAZON;566;32400;10;impianto 18
TOVAGLIOLO 33X33 COLORATO;Unknown;NO;AMAZON;1036,8;32400;10;12 cartoni da 2700
TOVAGLIOLO 33X33;Unknown;NO;AMAZON;0;720;10;
VASCHETTE ALLUMINIO R 30 G 4 POR;Unknown;NO;CDA;13,23;100;10;VASCHETTE GRANDI
VASCHETTE PORTA HAMB 10X10;50 Pz UTILIZZATI PER FRITTI;SI;METRO;10,1;50;10;
WC NET CANDEGGINA GEL;Unknown;SI;CDA;1,52;1;10;
