Ingredient;Category;IsUsed;SupplierId;Cost;SizeKg;SizeUnits;QuantityNeeded;Notes
TACCHINO FESA FRESCA;AFFETTATI;NATALE;S.M. SAUMI;65,48;8,97;1;15;
SALSA SENAPE;SALSE;si;CDA;2,74;0,875;1;15;
SALSA TARTARA;SALSE;SI;CDA;5,94;1,1;1;15;
TIGELLE;PANE;NO;METRO;1,33;0,25;1;15;UNA TIGELLA 41 GR --> 0,22 €
TIRAMISU MONOPORZIONE;DOLCI;NO;SURGEL;7,83;0,5;1;15;MONOORZIONE 100 GRAMMI
TOMA;FORMAGGI;NO;S.M. SAUMI;7,8;1;1;15;
TOMA DI CAPRA;FORMAGGI;NO;S.M. SAUMI;26,6;2;1;15;6,625
SALSA TONNATA;SALSE;SI;CDA;4,16;1;1;15;
SALSA YOGURT;SALSE;SI;CDA;1,3;0,2;1;15;
TOMA VALMORA;FORMAGGI;NO;SURGEL;21,36;2,2;1;15;
TOMINO;FORMAGGI;SI;S.M. SAUMI;10,07;1,1;1;15;
PASSATA DI POMODORO;SALSE;NO;CDA;1,21;0,7;1;15;
TONNO;AFFETTATI;NO;S.M. SAUMI;1,06;0,16;1;15;SGOCCIOLATO INTORNO 130 GR
TONNO;AFFETTATI;NO;SURGEL;6,87;1;1;15;TROPPO GRANDE
PESTO;SALSE;NO;CDA;3,78;0,5;1;15;
TABASCO;SALSE;SI;CDA;0;1;1;15;
TARALLI;APERITIVI;SI;CDA;13,84;2;1;15;
THE TISANE;CAFFETTERIA;SI;CDA;0;1;1;15;20 PER CONFEZIONE
TONNO;AFFETTATI;SI;CDA;1,01;0,16;1;15;€ 1,01
TONNO;AFFETTATI;SI;CDA;0,52;0,08;1;15;€ 0,52
TORTA BI GUSTO NONNA MACAO;DOLCI;NO;SURGEL;13,99;1,4;1;15;100 GRAMMI
TORTINO CIOCCOLATO;DOLCI;SI;SURGEL;16,91;1,2;1;15;100 GRAMMI
TRIS WURSTEL BAVARESE;CARNI;OKTOBERFEST;SURGEL;2,67;0,3;1;15;
WAFFELS DOLCI;DOLCI;SI;SURGEL;25,8;3,6;1;15;90 GRAMMI
TOPPING CIOCCOLATO;SALSE;SI;CDA;0;1;1;15;
TOPPING FRUTTI DI BOSCO;SALSE;NO;CDA;0;1;1;15;
ZUCCHERO DI CANNA;CAFFETTERIA;SI;CDA;8,4;1;1;15;5 GR BUSTINE CAFFE'
ZUCCHINE;CONTORNI;SI;SURGEL;0;1;1;15;
ZUCCHINE;CONTORNI;SI;CDA;2,2;1;1;15;
